"cell_ID"	"X"	"Y"
"s280"	3962.02	-1734.5
"s281"	3828.12	-1652.8
"s282"	3823.62	-1371.3
"s283"	5297.77	-707.72
"s284"	5288.5	-520.95
"s285"	5266.38	-623.17
"s286"	5149.68	-1818.8
"s287"	5134.28	-551.91
"s288"	5101.7	-633.05
"s289"	5019.92	-1820.3
"s290"	5016.97	-703.15
"s291"	5003.98	-573.52
"s292"	4872.74	-539.39
"s293"	4802.82	-420.87
"s294"	4800.77	-325.13
"s295"	4685.65	-1042.1
"s296"	4653.69	-300.32
"s297"	4630.36	-713.42
"s298"	4570.03	-756.36
"s299"	4554.35	-414.39
"s300"	4510.78	-257.98
"s301"	4278.02	-1904.6
"s302"	4219.92	-1273.9
"s303"	4218.32	-1803.1
"s304"	4212.72	-174.8
"s305"	4131.72	-1936
"s306"	3967.12	-695.89
"s307"	3950.32	-602.98
"s308"	3957.12	-212.18
"s309"	3943.12	-355.41
"s310"	3871.12	-496.92
"s311"	3774.32	-644.44
"s312"	3734.02	-374.85
"s313"	3632.42	-546.78
"s314"	3623.42	-411.24
"s315"	4253.22	-1202.5
"s316"	4170.42	-1411.1
"s317"	6953.87	-734.12
"s318"	6939.31	-1601.5
"s319"	6921.24	-1495.3
"s320"	6840.72	-1033.3
"s321"	6831.4	-723.27
"s322"	6835.25	-863.07
"s323"	6800.38	-1135.9
"s324"	6774.13	-1297.7
"s325"	6724.11	-701.05
"s326"	6709.27	-854.93
"s327"	6716.01	-352.2
"s328"	6687.35	-995.24
"s329"	6675.56	-1091.3
"s330"	6668.01	-1468.1
"s331"	6600.69	-1285.5
"s332"	6588.96	-1700.8
"s333"	6561.13	-653.28
"s334"	6521.45	-726.66
"s335"	6534.37	-1234
"s336"	6525.94	-877.47
"s337"	6479.36	-432.99
"s338"	6486.6	-1599.6
"s339"	6469.98	-1184
"s340"	6474.36	-1715.2
"s341"	6431.93	-966.9
"s342"	6422.09	-856.05
"s343"	6406.68	-716.81
"s344"	6399.85	-1873.1
"s345"	6395.82	-366.31
"s346"	6385.38	-1698
"s347"	6336.58	-1441.5
"s348"	6360.15	-985.08
"s349"	6359.06	-1559.7
"s350"	6356.29	-482.59
"s351"	6345.2	-859.35
"s352"	6323.91	-1768.8
"s353"	6315.73	-1052.8
"s354"	6306.06	-469.33
"s355"	6275.53	-1909.7
"s356"	6257.98	-699.51
"s357"	6241.22	-993.52
"s358"	6246.83	-475.36
"s359"	6233.12	-1725.6
"s360"	6214.46	-775.74
"s361"	6224.08	-914.75
"s362"	6229.47	-1374.1
"s363"	6198.16	-847.67
"s364"	6211.56	-1124.1
"s365"	6192.55	-499
"s366"	6201.32	-336.15
"s367"	6179.26	-1539.6
"s368"	6116.47	-1473.9
"s369"	6087.17	-904.01
"s370"	6072.37	-520.84
"s371"	6038.97	-413.05
"s372"	6038.87	-1345.6
"s373"	6017.67	-1487.5
"s374"	6005.87	-1010.8
"s375"	5996.07	-271.68
"s376"	5980.97	-475.72
"s377"	5989.77	-1259.8
"s378"	5971.07	-580.9
"s379"	5950.47	-1083.2
"s380"	5955.67	-1612.4
"s381"	5963.77	-748.67
"s382"	5923.57	-1758.6
"s383"	5918.57	-894.31
"s384"	5909.47	-1354
"s385"	5858.87	-1227.8
"s386"	5850.27	-536.66
"s387"	5804.97	-1534.4
"s388"	5807.27	-784.88
"s389"	5798.97	-432.49
"s390"	5773.97	-1147.6
"s391"	5739.27	-303.16
"s392"	5693.07	-808.9
"s393"	5669.27	-1609.4
"s394"	5664.17	-1101.1
"s395"	5647.17	-972.21
"s396"	5623.87	-1185.6
"s397"	5615.97	-1413.4
"s398"	5614.07	-1297.3
"s399"	5605.77	-762.65
"s400"	5595.37	-430.62
"s401"	5576.57	-1702.9
"s402"	5568.87	-592.77
"s403"	5567.07	-1867
"s404"	5544.67	-1413.6
"s405"	5525.57	-1781.4
"s406"	5533.77	-1137.3
"s407"	5502.67	-422.92
"s408"	5495.17	-1050.7
"s409"	5479.57	-1219.8
"s410"	5454.17	-843.53
"s411"	5444.27	-1895.4
"s412"	5396.57	-447.82
"s413"	5395.87	-538.71
"s414"	5386.37	-1185.9
"s415"	5359.97	-972.19
"s416"	5360.37	-325.14
"s417"	5388.07	-1581.5
"s418"	5350.27	-1802.9
"s419"	5294.27	-1108.7
"s420"	6633.67	-1596.6
"s421"	6480.8	-1298.9
"s422"	6408.49	-1352.2
"s423"	7552.12	429.62
"s424"	7530.35	184.72
"s425"	7502.43	609.95
"s426"	7488.42	262.72
"s427"	7461.32	-58.0799999999999
"s428"	7395.16	650.18
"s429"	7398.69	800.32
"s430"	7390.71	-97.78
"s431"	7360.07	388.12
"s432"	7318.74	581.52
"s433"	7295.59	6.81999999999994
"s434"	7248.82	72.52
"s435"	7261.23	-231.48
"s436"	7234.12	788.95
"s437"	7211.56	-19.28
"s438"	7209.17	-310.28
"s439"	7160.63	295.62
"s440"	7137.62	36.9200000000001
"s441"	7124.44	843.65
"s442"	7108.25	-24.5799999999999
"s443"	7100.08	525.3
"s444"	7015.45	458.09
"s445"	7023.28	865.12
"s446"	7003.05	238.12
"s447"	6944.04	385.52
"s448"	6918.81	-38.78
"s449"	6895.21	412.42
"s450"	6875.36	-256.58
"s451"	6870.82	681.8
"s452"	6881.56	91.3199999999999
"s453"	6838.85	423.02
"s454"	6825.93	223.82
"s455"	6789.47	-72.98
"s456"	6729.67	-266.48
"s457"	6732.57	923.04
"s458"	6716.77	297.22
"s459"	6690.27	1077.03
"s460"	6669.17	-19.48
"s461"	6665.47	714.33
"s462"	6624.57	889.06
"s463"	6615.87	1036.35
"s464"	6621.07	-312.98
"s465"	6615.17	788.88
"s466"	6571.67	847.55
"s467"	6541.77	48.72
"s468"	6536.77	733.59
"s469"	6528.47	787.31
"s470"	6520.87	1004.28
"s471"	6467.07	1080.17
"s472"	6467.47	-88.78
"s473"	6453.07	689.88
"s474"	6408.47	826.31
"s475"	6368.87	-221.88
"s476"	6358.77	379.52
"s477"	6360.87	-35.3800000000001
"s478"	6338.87	85.6199999999999
"s479"	6329.07	225.72
"s480"	6312.77	871.45
"s481"	6297.37	979.4
"s482"	6205.07	-130.38
"s483"	6202.27	360.72
"s484"	6139.57	-28.98
"s485"	6130.87	240.42
"s486"	7421.66	563.61
"s487"	7384.47	500.31
"s488"	7342.48	921.66
"s489"	7253.27	936.48
"s490"	7253.4	263.72
"s491"	7237.37	200.32
"s492"	7224.04	382.12
"s493"	7206.83	631.2
"s494"	7125.99	167.42
"s495"	6992.58	103.02
"s496"	6704.27	-124.68
"s497"	6666.77	378.82
