"Gene symbol","Cluster number"
"Rfx1","2"
"Syce2","2"
"Amfr","2"
"D230025D16Rik","2"
"Edc4","2"
"Atxn1l","2"
"Chst4","2"
"Mlkl","2"
"Cotl1","2"
"Tsnax","2"
"Coa6","2"
"Tmem123","2"
"Amotl1","2"
"Ubl5","2"
"Rab3d","2"
"Zfp653","2"
"Elof1","2"
"Ccdc15","2"
"Gramd1b","2"
"Arhgef12","2"
"Pdzd3","2"
"Slc37a4","2"
"Rps25","2"
"Ift46","2"
"Sidt2","2"
"Bco2","2"
"Etfa","2"
"2300009A05Rik","2"
"Dpp8","2"
"Igdcc4","2"
"Gtf2a2","2"
"Snhg5","2"
"Zfp949","2"
"Ctsh","2"
"Slc25a36","2"
"Mrpl3","2"
"Ppm1m","2"
"Twf2","2"
"Tusc2","2"
"Nme6","2"
"Ccdc12","2"
"Epm2aip1","2"
"Slc22a14","2"
"Acaa1a","2"
"Xylb","2"
"Vipr1","2"
"Cdcp1","2"
"Grm1","2"
"Aig1","2"
"Tbpl1","2"
"Tcf21","2"
"Marcks","2"
"Traf3ip2","2"
"Dcbld1","2"
"Lims1","2"
"Pald1","2"
"Ppa1","2"
"Ctnna3","2"
"Reep3","2"
"Tpgs1","2"
"Ap3d1","2"
"Ckap4","2"
"Cry1","2"
"Rtcb","2"
"1700113H08Rik","2"
"Dram1","2"
"Lum","2"
"Epyc","2"
"Zfc3h1","2"
"Yeats4","2"
"Helb","2"
"Tspan31","2"
"Erbb3","2"
"Suox","2"
"Hormad2","2"
"Tbrg4","2"
"Adcy1","2"
"Cct4","2"
"Rps27a","2"
"Acyp2","2"
"Bod1","2"
"Fbxw11","2"
"Ranbp17","2"
"Lcp2","2"
"Mgat1","2"
"Hnrnpab","2"
"Nhp2","2"
"0610009B22Rik","2"
"Anxa6","2"
"Ccdc69","2"
"Slc36a1","2"
"Trim16","2"
"Elac2","2"
"Ctc1","2"
"Slc2a4","2"
"Pfn1","2"
"Mis12","2"
"Emc6","2"
"Ovca2","2"
"Inpp5k","2"
"Timm22","2"
"Aldoc","2"
"Nf1","2"
"AI662270","2"
"Ccl5","2"
"Ccl6","2"
"Wfdc17","2"
"Acaca","2"
"Dhrs11","2"
"Usp32","2"
"Med13","2"
"Dynll2","2"
"Mmd","2"
"Ankrd40","2"
"Spop","2"
"Ttll6","2"
"Mrpl45","2"
"Rpl19","2"
"Ormdl3","2"
"Med24","2"
"Krt28","2"
"Nkiras2","2"
"Atp6v0a1","2"
"Psme3","2"
"Dcakd","2"
"Plekhm1","2"
"Atp5h","2"
"Galk1","2"
"Sec14l1","2"
"Birc5","2"
"Actg1","2"
"P4hb","2"
"Anapc11","2"
"Rfng","2"
"Fasn","2"
"Pdia6","2"
"Adi1","2"
"Tmem18","2"
"Sypl","2"
"Agr2","2"
"Dgkb","2"
"Akap6","2"
"Eapp","2"
"Baz1a","2"
"Mnat1","2"
"Mpp5","2"
"Eif2s1","2"
"Vti1b","2"
"Pcnx","2"
"Dcaf4","2"
"Entpd5","2"
"Tmed10","2"
"Ahsa1","2"
"Alkbh1","2"
"Kcnk10","2"
"Dicer1","2"
"Tecpr2","2"
"Exoc3l4","2"
"Crip1","2"
"Akr1c14","2"
"Psma2","2"
"9330162012Rik","2"
"Cage1","2"
"Tmem170b","2"
"Mylip","2"
"Atxn1","2"
"4833439L19Rik","2"
"Txndc15","2"
"Pitx1","2"
"Hnrnpk","2"
"Nsun2","2"
