"Gene symbol","Cluster number"
"Abcf2","4"
"Srp72","4"
"Slc4a4","4"
"Pxn","4"
"Tmem248","4"
"Gtf2i","4"
"Cux1","4"
"Kcnd2","4"
"Wdr91","4"
"Snx10","4"
"Snrpg","4"
"Chchd4","4"
"Cntn3","4"
"Chl1","4"
"Pparg","4"
"Kdm5a","4"
"Clec2d","4"
"Klrd1","4"
"Plbd1","4"
"U2af2","4"
"Bbc3","4"
"Fbl","4"
"Zfp36","4"
"Sirt2","4"
"Fxyd3","4"
"Ccne1","4"
"Bax","4"
"Kcnj14","4"
"Fes","4"
"P2ry6","4"
"Acsm3","4"
"Wdr11","4"
"Mki67","4"
"Echs1","4"
"Ubxn8","4"
"Sorbs2","4"
"Gab1","4"
"Lpcat2","4"
"Mlycd","4"
"Ldlr","4"
"Edc3","4"
"Zfp609","4"
"Myo6","4"
"Slc25a36","4"
"Cdc25a","4"
"Higd1a","4"
"Slc35d3","4"
"Ddx50","4"
"Cnn2","4"
"Mob3a","4"
"Cdk17","4"
"Zfc3h1","4"
"Suox","4"
"Eif4enif1","4"
"Hint1","4"
"Tmem11","4"
"Gabarap","4"
"Ksr1","4"
"Spop","4"
"Med24","4"
"2610035D17Rik","4"
"Cygb","4"
"Mettl23","4"
"Alyref","4"
"Adam17","4"
"Adi1","4"
"Agr2","4"
"Ralgapa1","4"
"Fut8","4"
"Ifi27l2a","4"
"Akt1","4"
"Abt1","4"
"Iars","4"
"Msh3","4"
"Ube2e1","4"
"Thoc7","4"
"Bmp4","4"
"Hnrnpc","4"
"Mrpl52","4"
"Zfr","4"
"Laptm4b","4"
"Gpr20","4"
"Gsdmd","4"
"Cyth4","4"
"Kdelr3","4"
"Rpl3","4"
"Ndufa6","4"
"Lmf2","4"
"Acvrl1","4"
"Igfbp6","4"
"Prr13","4"
"Cbx5","4"
"Cluap1","4"
"Pmm2","4"
"Mcm4","4"
"Bdh1","4"
"Fyttd1","4"
"Pdia5","4"
"Slc15a2","4"
"Lsamp","4"
"Tfg","4"
"App","4"
"Arid1b","4"
"Zfp53","4"
"Hspa1b","4"
"Mapre2","4"
"Map3k2","4"
"Ppic","4"
"Rnmt","4"
"Rpl17","4"
"Nudt22","4"
"Incenp","4"
"AW112010","4"
"Cep78","4"
"Sgms1","4"
"Atrnl1","4"
"Upf3b","4"
"Pls3","4"
"Morf4l2","4"
"Cldn2","4"
"Ubqln2","4"
"Tlr7","4"
"Prps2","4"
"Lmbrd1","5"
"Sumo1","5"
"Asb1","5"
"Dhx9","5"
"Cacna1e","5"
"Lbr","5"
"Ppp2r5a","5"
"Dnajc1","5"
"Odf2","5"
"Gsn","5"
"Cdca7","5"
"Pamr1","5"
"Hipk3","5"
"Ccdc73","5"
"Arl14ep","5"
"Naa20","5"
"Blcap","5"
"Nnat","5"
"Ufm1","5"
"Postn","5"
"Eif2a","5"
"P2ry14","5"
"Igsf10","5"
"Mfsd1","5"
"Rab25","5"
"Nup210l","5"
"Ahcyl1","5"
"Unc5c","5"
"Gbp2","5"
"Mob3b","5"
"Lpar1","5"
"Plaa","5"
"Tmem59","5"
"Nrd1","5"
"Eif2b3","5"
"Phactr4","5"
"Wasf2","5"
"Clic4","5"
"Pdpn","5"
"Rere","5"
"Rheb","5"
"Mapre3","5"
"Rfc1","5"
"Slain2","5"
"Arhgap24","5"
"Noc4l","5"
"Ptpn11","5"
"Tmem132d","5"
"Ran","5"
"Znhit1","5"
"Ppp1r35","5"
"Lamtor4","5"
"Chst12","5"
"Gna12","5"
"Tfec","5"
"Gcc1","5"
"Arf5","5"
"Tmem213","5"
"Sval3","5"
"Nt5c3","5"
"Gt(ROSA)26Sor","5"
"Cxcl12","5"
"C3ar1","5"
"Mrpl51","5"
"Mgp","5"
"Apoc2","5"
"Nomo1","5"
"Dlg2","5"
"Prcp","5"
"Alg8","5"
"Bckdk","5"
"Cd81","5"
"Col4a2","5"
"Fbxo25","5"
"4930555F03Rik","5"
"Atp13a1","5"
"Otud4","5"
"Nfat5","5"
"Rbm34","5"
"Gucy1a2","5"
"Arhgap42","5"
"Eif3g","5"
"Ap1m2","5"
"Rab27a","5"
"Anapc13","5"
"Cdv3","5"
"Gpx1","5"
"Clec3b","5"
"Lama4","5"
"Cisd1","5"
"Rps15","5"
"Rtcb","5"
"Naca","5"
"Ap1b1","5"
"Nudcd3","5"
"Igfbp3","5"
"Pdlim4","5"
"Vamp2","5"
"Ssh2","5"
"Synrg","5"
"Mrpl27","5"
"Ubtf","5"
"Itga2b","5"
"Hexim1","5"
"Myo15b","5"
"Smim6","5"
"Slc38a10","5"
"Pum2","5"
"Snx6","5"
"Wdr89","5"
"Sgpp1","5"
"Dlst","5"
"4930544I03Rik","5"
"Calm1","5"
"Glrx5","5"
"Hsp90aa1","5"
"Crip1","5"
"Gpld1","5"
"Sfxn1","5"
"Rab24","5"
"Itga1","5"
"Mustn1","5"
"Gnpnat1","5"
"Tsc22d1","5"
"Pdzd2","5"
"Pabpc1","5"
"Gsdmc4","5"
"Eef1d","5"
"A4galt","5"
"Zbed4","5"
"Gspt1","5"
"Opa1","5"
"BC016579","5"
"Filip1l","5"
"4930453N24Rik","5"
"Mapk8ip3","5"
"Axin1","5"
"Tap1","5"
"Nelfe","5"
"Cyp39a1","5"
"Stap2","5"
"Rab12","5"
"Gemin6","5"
"Wdr33","5"
"Zmat2","5"
