"Gene symbol","Cluster number"
"Ptp4a3","3"
"Ppp1r16a","3"
"Senp1","3"
"Pou6f1","3"
"Top3b","3"
"Ranbp1","3"
"Hes1","3"
"Fbxo45","3"
"Noxo1","3"
"Brpf3","3"
"Nfya","3"
"Khsrp","3"
"Ndc80","3"
"Xdh","3"
"Cox7a2l","3"
"Zmat2","3"
"Dctn4","3"
"Lman1","3"
"Pias2","3"
"Cfl1","3"
"Ehbp1l1","3"
"Dpf2","3"
"Mamdc2","3"
"Slc16a12","3"
"Pgam1","3"
"Wbp1l","3"
"Ikbkg","3"
"Igbp1","3"
"Tsr2","3"
"Pdcl3","4"
"Fhl2","4"
"Bcs1l","4"
"Stk16","4"
"Eif4e2","4"
"Agap1","4"
"Asb1","4"
"R3hdm1","4"
"Dars","4"
"Prelp","4"
"Qsox1","4"
"Prrc2c","4"
"Pycr2","4"
"Sapcd2","4"
"Cdk9","4"
"Itgav","4"
"Serping1","4"
"Snap23","4"
"Ckap2l","4"
"Id1","4"
"Trpc4ap","4"
"Pltp","4"
"Arfgap1","4"
"Supt20","4"
"Ccnl1","4"
"Lrba","4"
"Tpm3","4"
"Dram2","4"
"Gstm1","4"
"Lmo4","4"
"Prkacb","4"
"Zzz3","4"
"Esrp1","4"
"Baat","4"
"Tnc","4"
"Hectd3","4"
"Macf1","4"
"Meaf6","4"
"Rpa2","4"
"Nudc","4"
"Ube4b","4"
"Cdk11b","4"
"Eif2b4","4"
"Gpn1","4"
"Nelfa","4"
"Ncapg","4"
"Noa1","4"
"Cenpc1","4"
"Stbd1","4"
"Mrps18c","4"
"Chfr","4"
"Lfng","4"
"Bri3","4"
"Mtpn","4"
"Tspan9","4"
"Zc3h4","4"
"Irgq","4"
"Nfkbib","4"
"Rras","4"
"Ntrk3","4"
"Whamm","4"
"Homer2","4"
"Rab30","4"
"Stard10","4"
"Ifitm3","4"
"Arglu1","4"
"Col4a2","4"
"Ing1","4"
"Sfrp1","4"
"Slc27a1","4"
"Prdx2","4"
"Tox3","4"
"Fto","4"
"Chst4","4"
"Rfwd3","4"
"Itgb1","4"
"Cnn1","4"
"Gramd1b","4"
"Sidt2","4"
"Scamp2","4"
"Fbxo9","4"
"Plscr1","4"
"Anapc13","4"
"Rpl29","4"
"Acy1","4"
"Manf","4"
"Cdcp1","4"
"Nhsl1","4"
"Bclaf1","4"
"Mcu","4"
"Csnk1g2","4"
"Izumo4","4"
"Nr1h4","4"
"Atp2b1","4"
"Ccdc59","4"
"Pawr","4"
"Pa2g4","4"
"Hmmr","4"
"2410006H16Rik","4"
"Trim16","4"
"Nup88","4"
"Prpf8","4"
"Blmh","4"
"Myo1d","4"
"Mtmr4","4"
"Mrpl27","4"
"Slc35b1","4"
"Hoxb13","4"
"Lasp1","4"
"Psme3","4"
"Ftsj3","4"
"Mrps7","4"
"Eif4a3","4"
"Pnn","4"
"Vti1b","4"
"Klc1","4"
"Stard3nl","4"
"Ddx41","4"
"Pitx1","4"
"2210016F16Rik","4"
"Polr3g","4"
"4833420G17Rik","4"
"Sec24c","4"
"Appl1","4"
"Bap1","4"
"Lgals3","4"
"Exoc5","4"
"Reep4","4"
"Lpar6","4"
"Lmo7","4"
"Slitrk5","4"
"Ggact","4"
"Plcxd3","4"
"Laptm4b","4"
"Ncald","4"
"Wdyhv1","4"
"Kansl2","4"
"Aifm3","4"
"Gsk3b","4"
"Cd200","4"
"Tfg","4"
"App","4"
"Scaf4","4"
"Cbr1","4"
"Tmprss2","4"
"Rab11fip3","4"
"Phf1","4"
"Bak1","4"
"Ndufa7","4"
"2310061I04Rik","4"
"Spast","4"
"Ppm1b","4"
"Zeb1","4"
"Riok3","4"
"Wdr7","4"
"Fibp","4"
"Stx5a","4"
"Pten","4"
"G6pdx","4"
"Cldn2","4"
"Kdm5c","4"
"C130026I21Rik","5"
"Ndufa10","5"
"Atp1b1","5"
"Brox","5"
"Nckap1","5"
"Serinc3","5"
"Igsf10","5"
"Slc50a1","5"
"S100a11","5"
"Chchd7","5"
"Rngtt","5"
"Spink4","5"
"Wdtc1","5"
"Hgfac","5"
"Lyar","5"
"Kit","5"
"Mrpl1","5"
"Ephb4","5"
"Ica1","5"
"Zyx","5"
"Foxa3","5"
"Rhpn2","5"
"Ngrn","5"
"Aldoa","5"
"B130055M24Rik","5"
"Vps35","5"
"Csk","5"
"Abhd5","5"
"Pttg1ip","5"
"Timm13","5"
"Map2k2","5"
"Fzr1","5"
"Gna11","5"
"Egfr","5"
"Ahsa2","5"
"Gpx3","5"
"Col1a1","5"
"Tmem14c","5"
"Prelid1","5"
"Bmp4","5"
"Gsdmc4","5"
"Khdrbs3","5"
"1810013L24Rik","5"
"Sidt1","5"
"Rab40c","5"
"Rnf5","5"
"Stap2","5"
"Lipg","5"
"Banf1","5"
"Vbp1","5"
"Ube2w","6"
"Mfsd6","6"
"Hspd1","6"
"Aamp","6"
"Rnf152","6"
"2310009B15Rik","6"
"Cep350","6"
"Vamp4","6"
"Fcgr2b","6"
"Cox20","6"
"Tmem63a","6"
"Psd4","6"
"Ubac1","6"
"Med27","6"
"Rbm43","6"
"Mtch2","6"
"Slc35c1","6"
"Ehf","6"
"Duox2","6"
"Crnkl1","6"
"Top1","6"
"Zbp1","6"
"Rpl22l1","6"
"Rab33b","6"
"Lxn","6"
"Smc4","6"
"Trim2","6"
"S100a10","6"
"Psma5","6"
"Gar1","6"
"Pigk","6"
"Sigmar1","6"
"Zcchc7","6"
"Exosc3","6"
"Klf4","6"
"Ptbp3","6"
"Cdc26","6"
"Acer2","6"
"Ttc39a","6"
"Smap2","6"
"1110065P20Rik","6"
"Psmb2","6"
"Eif3i","6"
"Pnrc2","6"
"Alpl","6"
"Abcf2","6"
"Slc4a4","6"
"Coq2","6"
"Cds1","6"
"Pxn","6"
"Prkab1","6"
"Ywhag","6"
"Rasa4","6"
"Eif3b","6"
"Foxk1","6"
"Samd9l","6"
"Cav1","6"
"Cadps2","6"
"Wdr91","6"
"Cycs","6"
"Vopp1","6"
"Wbp1","6"
"Spr","6"
"Snrpg","6"
"Hmces","6"
"Pparg","6"
"Wnk1","6"
"Klrd1","6"
"Klra7","6"
"Ppp6r1","6"
"Bbc3","6"
"Nlrp4e","6"
"Zfp36","6"
"Sirt2","6"
"Lrp3","6"
"Prrg2","6"
"Arhgef17","6"
"P2ry6","6"
"Eif3f","6"
"1110004F10Rik","6"
"Acsm3","6"
"Anks4b","6"
"Ppp4c","6"
"9430038I01Rik","6"
"Mob2","6"
"Kcnq1","6"
"Sorbs2","6"
"N4bp1","6"
"Cnot1","6"
"Zdhhc7","6"
"Casp1","6"
"Ldlr","6"
"Edc3","6"
"Zfp609","6"
"Tinag","6"
"Slc25a36","6"
"Ccdc51","6"
"Smarcc1","6"
"Utrn","6"
"Rrp1","6"
"Cdk17","6"
"Zfc3h1","6"
"Ctdsp2","6"
"Myl6","6"
"Suox","6"
"Rtn4","6"
"Ccng1","6"
"Slc22a21","6"
"Elac2","6"
"Med11","6"
"Ccl6","6"
"Vezf1","6"
"Casc3","6"
"Cnp","6"
"Atxn7l3","6"
"Gpatch8","6"
"Efcab3","6"
"Kpna2","6"
"Pitpnc1","6"
"Cdr2l","6"
"Fbf1","6"
"Mettl23","6"
