"cell_ID" "FOV" "cell_types"
"cell_267" 2 "Lhx6 iNeuron"
"cell_268" 2 "Lhx6 iNeuron"
"cell_269" 2 "Lhx6 iNeuron"
"cell_270" 2 "L5 eNeuron"
"cell_271" 2 "Olig"
"cell_272" 2 "L5 eNeuron"
"cell_273" 2 "L6 eNeuron"
"cell_274" 2 "L5 eNeuron"
"cell_275" 2 "Lhx6 iNeuron"
"cell_276" 2 "L6 eNeuron"
"cell_277" 2 "L6 eNeuron"
"cell_278" 2 "L5 eNeuron"
"cell_279" 2 "Lhx6 iNeuron"
"cell_280" 2 "L5 eNeuron"
"cell_281" 2 "L5 eNeuron"
"cell_282" 2 "mural"
"cell_283" 2 "astrocytes"
"cell_284" 2 "L5 eNeuron"
"cell_285" 2 "L5 eNeuron"
"cell_286" 2 "L5 eNeuron"
"cell_287" 2 "L6 eNeuron"
"cell_288" 2 "astrocytes"
"cell_289" 2 "L6 eNeuron"
"cell_290" 2 "endothelial"
"cell_291" 2 "L6 eNeuron"
"cell_292" 2 "L5 eNeuron"
"cell_293" 2 "L5 eNeuron"
"cell_294" 2 "Lhx6 iNeuron"
"cell_295" 2 "L4 eNeuron"
"cell_296" 2 "L5 eNeuron"
"cell_297" 2 "endothelial"
"cell_298" 2 "astrocytes"
"cell_299" 2 "L5 eNeuron"
"cell_300" 2 "L5 eNeuron"
"cell_301" 2 "L5 eNeuron"
"cell_302" 2 "OPC"
"cell_303" 2 "Lhx6 iNeuron"
"cell_304" 2 "L5 eNeuron"
"cell_305" 2 "L5 eNeuron"
"cell_306" 2 "Olig"
"cell_307" 2 "L4 eNeuron"
"cell_308" 2 "L5 eNeuron"
"cell_309" 2 "L6 eNeuron"
"cell_310" 2 "Lhx6 iNeuron"
"cell_311" 2 "L5 eNeuron"
"cell_312" 2 "L6 eNeuron"
"cell_313" 2 "L5 eNeuron"
"cell_314" 2 "Lhx6 iNeuron"
"cell_315" 2 "endothelial"
"cell_316" 2 "OPC"
"cell_317" 3 "L6 eNeuron"
"cell_318" 3 "OPC"
"cell_319" 3 "endothelial"
"cell_320" 3 "L6 eNeuron"
"cell_321" 3 "L6 eNeuron"
"cell_322" 3 "L6 eNeuron"
"cell_323" 3 "L6 eNeuron"
"cell_324" 3 "L6 eNeuron"
"cell_325" 3 "L6 eNeuron"
"cell_326" 3 "astrocytes"
"cell_327" 3 "L6 eNeuron"
"cell_328" 3 "mural"
"cell_329" 3 "L6 eNeuron"
"cell_330" 3 "Adarb2 iNeuron"
"cell_331" 3 "microglia"
"cell_332" 3 "Olig"
"cell_333" 3 "L6 eNeuron"
"cell_334" 3 "microglia"
"cell_335" 3 "L6 eNeuron"
"cell_336" 3 "astrocytes"
"cell_337" 3 "L6 eNeuron"
"cell_338" 3 "L6 eNeuron"
"cell_339" 3 "L6 eNeuron"
"cell_340" 3 "astrocytes"
"cell_341" 3 "Olig"
"cell_342" 3 "L6 eNeuron"
"cell_343" 3 "L5 eNeuron"
"cell_344" 3 "L6 eNeuron"
"cell_345" 3 "microglia"
"cell_346" 3 "L6 eNeuron"
"cell_347" 3 "astrocytes"
"cell_348" 3 "L6 eNeuron"
"cell_349" 3 "L6 eNeuron"
"cell_350" 3 "mural"
"cell_351" 3 "L6 eNeuron"
"cell_352" 3 "L6 eNeuron"
"cell_353" 3 "L6 eNeuron"
"cell_354" 3 "endothelial"
"cell_355" 3 "L6 eNeuron"
"cell_356" 3 "L6 eNeuron"
"cell_357" 3 "L5 eNeuron"
"cell_358" 3 "astrocytes"
"cell_359" 3 "Adarb2 iNeuron"
"cell_360" 3 "L6 eNeuron"
"cell_361" 3 "mural"
"cell_362" 3 "endothelial"
"cell_363" 3 "L6 eNeuron"
"cell_364" 3 "L6 eNeuron"
"cell_365" 3 "L6 eNeuron"
"cell_366" 3 "L6 eNeuron"
"cell_367" 3 "Olig"
"cell_368" 3 "L2/3 eNeuron"
"cell_369" 3 "L5 eNeuron"
"cell_370" 3 "L6 eNeuron"
"cell_371" 3 "L6 eNeuron"
"cell_372" 3 "L6 eNeuron"
"cell_373" 3 "Lhx6 iNeuron"
"cell_374" 3 "L5 eNeuron"
"cell_375" 3 "L6 eNeuron"
"cell_376" 3 "L6 eNeuron"
"cell_377" 3 "L6 eNeuron"
"cell_378" 3 "L6 eNeuron"
"cell_379" 3 "L6 eNeuron"
"cell_380" 3 "endothelial"
"cell_381" 3 "L6 eNeuron"
"cell_382" 3 "Lhx6 iNeuron"
"cell_383" 3 "L6 eNeuron"
"cell_384" 3 "L6 eNeuron"
"cell_385" 3 "endothelial"
"cell_386" 3 "L6 eNeuron"
"cell_387" 3 "L6 eNeuron"
"cell_388" 3 "L6 eNeuron"
"cell_389" 3 "L6 eNeuron"
"cell_390" 3 "L6 eNeuron"
"cell_391" 3 "L6 eNeuron"
"cell_392" 3 "L5 eNeuron"
"cell_393" 3 "L4 eNeuron"
"cell_394" 3 "Lhx6 iNeuron"
"cell_395" 3 "L5 eNeuron"
"cell_396" 3 "L2/3 eNeuron"
"cell_397" 3 "L5 eNeuron"
"cell_398" 3 "L5 eNeuron"
"cell_399" 3 "endothelial"
"cell_400" 3 "L6 eNeuron"
"cell_401" 3 "L5 eNeuron"
"cell_402" 3 "L6 eNeuron"
"cell_403" 3 "L6 eNeuron"
"cell_404" 3 "mural"
"cell_405" 3 "L6 eNeuron"
"cell_406" 3 "L6 eNeuron"
"cell_407" 3 "L5 eNeuron"
"cell_408" 3 "endothelial"
"cell_409" 3 "L6 eNeuron"
"cell_410" 3 "Olig"
"cell_411" 3 "L2/3 eNeuron"
"cell_412" 3 "Lhx6 iNeuron"
"cell_413" 3 "L6 eNeuron"
"cell_414" 3 "L6 eNeuron"
"cell_415" 3 "L5 eNeuron"
"cell_416" 3 "Lhx6 iNeuron"
"cell_417" 3 "L6 eNeuron"
"cell_418" 3 "L5 eNeuron"
"cell_419" 3 "L6 eNeuron"
"cell_420" 3 "L6 eNeuron"
"cell_421" 3 "L6 eNeuron"
"cell_422" 3 "Lhx6 iNeuron"
"cell_423" 4 "Olig"
"cell_424" 4 "astrocytes"
"cell_425" 4 "OPC"
"cell_426" 4 "OPC"
