"cell_ID"	"x_coord"	"y_coord"
"s227"	"20666"	"9324"
"s228"	"20966"	"9324"
"s229"	"21266"	"9324"
"s230"	"21566"	"9324"
"s231"	"21866"	"9324"
"s232"	"20066"	"9624"
"s233"	"20366"	"9624"
"s234"	"20666"	"9624"
"s235"	"20966"	"9624"
"s236"	"21266"	"9624"
"s237"	"21566"	"9624"
"s238"	"21866"	"9624"
"s239"	"20066"	"9924"
"s240"	"20366"	"9924"
"s241"	"20666"	"9924"
"s242"	"20966"	"9924"
"s243"	"21266"	"9924"
"s244"	"21566"	"9924"
"s245"	"21866"	"9924"
"s246"	"20066"	"8154"
"s247"	"20366"	"8154"
"s248"	"20666"	"8154"
"s249"	"20966"	"8154"
"s250"	"21266"	"8154"
"s251"	"21566"	"8154"
"s252"	"21866"	"8154"
"s253"	"20066"	"8454"
"s254"	"20366"	"8454"
"s255"	"20666"	"8454"
"s256"	"20966"	"8454"
"s257"	"21266"	"8454"
"s258"	"21566"	"8454"
"s259"	"21866"	"8454"
"s260"	"20066"	"8754"
"s261"	"20366"	"8754"
"s262"	"20666"	"8754"
"s263"	"20966"	"8754"
"s264"	"21266"	"8754"
"s265"	"21566"	"8754"
"s266"	"21866"	"8754"
"s267"	"20066"	"9054"
"s268"	"20366"	"9054"
"s269"	"20666"	"9054"
"s270"	"20966"	"9054"
"s271"	"21266"	"9054"
"s272"	"21566"	"9054"
"s273"	"21866"	"9054"
"s274"	"20066"	"9354"
"s275"	"20366"	"9354"
"s276"	"20666"	"9354"
"s277"	"20966"	"9354"
"s278"	"21266"	"9354"
"s279"	"21566"	"9354"
"s280"	"21866"	"9354"
"s281"	"20066"	"9654"
"s282"	"20366"	"9654"
"s283"	"20666"	"9654"
"s284"	"20966"	"9654"
"s285"	"21266"	"9654"
"s286"	"21566"	"9654"
"s287"	"21866"	"9654"
"s288"	"20066"	"9954"
"s289"	"20366"	"9954"
"s290"	"20666"	"9954"
"s291"	"20966"	"9954"
"s292"	"21266"	"9954"
"s293"	"21566"	"9954"
"s294"	"21866"	"9954"
"s295"	"20066"	"8184"
"s296"	"20366"	"8184"
"s297"	"20666"	"8184"
"s298"	"20966"	"8184"
"s299"	"21266"	"8184"
"s300"	"21566"	"8184"
"s301"	"21866"	"8184"
"s302"	"20066"	"8484"
"s303"	"20366"	"8484"
"s304"	"20666"	"8484"
"s305"	"20966"	"8484"
"s306"	"21266"	"8484"
"s307"	"21566"	"8484"
"s308"	"21866"	"8484"
"s309"	"20066"	"8784"
"s310"	"20366"	"8784"
"s311"	"20666"	"8784"
"s312"	"20966"	"8784"
"s313"	"21266"	"8784"
"s314"	"21566"	"8784"
"s315"	"21866"	"8784"
"s316"	"20066"	"9084"
"s317"	"20366"	"9084"
"s318"	"20666"	"9084"
"s319"	"20966"	"9084"
"s320"	"21266"	"9084"
"s321"	"21566"	"9084"
"s322"	"21866"	"9084"
"s323"	"20066"	"9384"
"s324"	"20366"	"9384"
"s325"	"20666"	"9384"
"s326"	"20966"	"9384"
"s327"	"21266"	"9384"
"s328"	"21566"	"9384"
"s329"	"21866"	"9384"
"s330"	"20066"	"9684"
"s331"	"20366"	"9684"
"s332"	"20666"	"9684"
"s333"	"20966"	"9684"
"s334"	"21266"	"9684"
"s335"	"21566"	"9684"
"s336"	"21866"	"9684"
"s337"	"20066"	"9984"
"s338"	"20366"	"9984"
"s339"	"20666"	"9984"
"s340"	"20966"	"9984"
"s341"	"21266"	"9984"
"s342"	"21566"	"9984"
"s343"	"21866"	"9984"
"s344"	"20066"	"8214"
"s345"	"20366"	"8214"
"s346"	"20666"	"8214"
"s347"	"20966"	"8214"
"s348"	"21266"	"8214"
"s349"	"21566"	"8214"
"s350"	"21866"	"8214"
"s351"	"20066"	"8514"
"s352"	"20366"	"8514"
"s353"	"20666"	"8514"
"s354"	"20966"	"8514"
"s355"	"21266"	"8514"
"s356"	"21566"	"8514"
"s357"	"21866"	"8514"
"s358"	"20066"	"8814"
"s359"	"20366"	"8814"
"s360"	"20666"	"8814"
"s361"	"20966"	"8814"
"s362"	"21266"	"8814"
"s363"	"21566"	"8814"
"s364"	"21866"	"8814"
"s365"	"20066"	"9114"
"s366"	"20366"	"9114"
"s367"	"20666"	"9114"
"s368"	"20966"	"9114"
"s369"	"21266"	"9114"
"s370"	"21566"	"9114"
"s371"	"21866"	"9114"
"s372"	"20066"	"9414"
"s373"	"20366"	"9414"
"s374"	"20666"	"9414"
"s375"	"20966"	"9414"
"s376"	"21266"	"9414"
"s377"	"21566"	"9414"
"s378"	"21866"	"9414"
"s379"	"20066"	"9714"
"s380"	"20366"	"9714"
"s381"	"20666"	"9714"
"s382"	"20966"	"9714"
"s383"	"21266"	"9714"
"s384"	"21566"	"9714"
"s385"	"21866"	"9714"
"s386"	"20066"	"8244"
"s387"	"20366"	"8244"
"s388"	"20666"	"8244"
"s389"	"20966"	"8244"
"s390"	"21266"	"8244"
"s391"	"21566"	"8244"
"s392"	"21866"	"8244"
"s393"	"20066"	"8544"
"s394"	"20366"	"8544"
"s395"	"20666"	"8544"
"s396"	"20966"	"8544"
"s397"	"21266"	"8544"
"s398"	"21566"	"8544"
"s399"	"21866"	"8544"
"s400"	"20066"	"8844"
"s401"	"20366"	"8844"
"s402"	"20666"	"8844"
"s403"	"20966"	"8844"
"s404"	"21266"	"8844"
"s405"	"21566"	"8844"
"s406"	"21866"	"8844"
"s407"	"20066"	"9144"
"s408"	"20366"	"9144"
"s409"	"20666"	"9144"
"s410"	"20966"	"9144"
"s411"	"21266"	"9144"
"s412"	"21566"	"9144"
"s413"	"21866"	"9144"
"s414"	"20066"	"9444"
"s415"	"20366"	"9444"
"s416"	"20666"	"9444"
"s417"	"20966"	"9444"
"s418"	"21266"	"9444"
"s419"	"21566"	"9444"
"s420"	"21866"	"9444"
"s421"	"20066"	"9744"
"s422"	"20366"	"9744"
"s423"	"20666"	"9744"
"s424"	"20966"	"9744"
"s425"	"21266"	"9744"
"s426"	"21566"	"9744"
"s427"	"21866"	"9744"
"s428"	"20066"	"8274"
"s429"	"20366"	"8274"
"s430"	"20666"	"8274"
"s431"	"20966"	"8274"
"s432"	"21266"	"8274"
"s433"	"21566"	"8274"
"s434"	"21866"	"8274"
"s435"	"20066"	"8574"
"s436"	"20366"	"8574"
"s437"	"20666"	"8574"
"s438"	"20966"	"8574"
"s439"	"21266"	"8574"
"s440"	"21566"	"8574"
"s441"	"21866"	"8574"
"s442"	"20066"	"8874"
"s443"	"20366"	"8874"
"s444"	"20666"	"8874"
"s445"	"20966"	"8874"
"s446"	"21266"	"8874"
"s447"	"21566"	"8874"
"s448"	"21866"	"8874"
"s449"	"20066"	"9174"
"s450"	"20366"	"9174"
"s451"	"20666"	"9174"
"s452"	"20966"	"9174"
"s453"	"21266"	"9174"
"s454"	"21566"	"9174"
"s455"	"21866"	"9174"
"s456"	"20066"	"9474"
"s457"	"20366"	"9474"
"s458"	"20666"	"9474"
"s459"	"20966"	"9474"
"s460"	"21266"	"9474"
"s461"	"21566"	"9474"
"s462"	"21866"	"9474"
"s463"	"20066"	"9774"
"s464"	"20366"	"9774"
"s465"	"20666"	"9774"
"s466"	"20966"	"9774"
"s467"	"21266"	"9774"
"s468"	"21566"	"9774"
"s469"	"21866"	"9774"
"s470"	"20096"	"8004"
"s471"	"20396"	"8004"
"s472"	"20696"	"8004"
"s473"	"20996"	"8004"
"s474"	"21296"	"8004"
"s475"	"21596"	"8004"
"s476"	"21896"	"8004"
"s477"	"20096"	"8304"
"s478"	"20396"	"8304"
"s479"	"20696"	"8304"
"s480"	"20996"	"8304"
"s481"	"21296"	"8304"
"s482"	"21596"	"8304"
"s483"	"21896"	"8304"
"s484"	"20096"	"8604"
"s485"	"20396"	"8604"
"s486"	"20696"	"8604"
"s487"	"20996"	"8604"
"s488"	"21296"	"8604"
"s489"	"21596"	"8604"
"s490"	"21896"	"8604"
"s491"	"20096"	"8904"
"s492"	"20396"	"8904"
"s493"	"20696"	"8904"
"s494"	"20996"	"8904"
"s495"	"21296"	"8904"
"s496"	"21596"	"8904"
"s497"	"21896"	"8904"
"s498"	"20096"	"9204"
"s499"	"20396"	"9204"
"s500"	"20696"	"9204"
"s501"	"20996"	"9204"
"s502"	"21296"	"9204"
"s503"	"21596"	"9204"
"s504"	"21896"	"9204"
"s505"	"20096"	"9504"
"s506"	"20396"	"9504"
"s507"	"20696"	"9504"
"s508"	"20996"	"9504"
"s509"	"21296"	"9504"
"s510"	"21596"	"9504"
"s511"	"21896"	"9504"
"s512"	"20096"	"9804"
"s513"	"20396"	"9804"
"s514"	"20696"	"9804"
"s515"	"20996"	"9804"
"s516"	"21296"	"9804"
"s517"	"21596"	"9804"
"s518"	"21896"	"9804"
"s519"	"20096"	"8034"
"s520"	"20396"	"8034"
"s521"	"20696"	"8034"
"s522"	"20996"	"8034"
"s523"	"21296"	"8034"
"s524"	"21596"	"8034"
"s525"	"21896"	"8034"
"s526"	"20096"	"8334"
