"Gene symbol","Cluster number"
"Rab40c","3"
"Vars","3"
"Csnk2b","3"
"Tubb5","3"
"Tnfrsf21","3"
"Cyp39a1","3"
"Cdc5l","3"
"Rab12","3"
"Zfp438","3"
"Ankhd1","3"
"Ik","3"
"Zdhhc24","3"
"Fibp","3"
"Cdc42bpg","3"
"Ahnak","3"
"Cpsf7","3"
"Ms4a6c","3"
"Got1","3"
"Entpd7","3"
"Casp7","3"
"Hs6st2","3"
"Hsf3","3"
"2610002M06Rik","3"
"Morc4","3"
"Huwe1","3"
"Rbbp7","3"
"Zfy1","3"
"mt-Co3","3"
"Ankrd44","4"
"Ikzf2","4"
"Ctdsp1","4"
"Inpp5d","4"
"Atg16l1","4"
"Dtymk","4"
"Dbi","4"
"Mapkapk2","4"
"Klhdc8a","4"
"Cdc73","4"
"Pnpla7","4"
"Ssna1","4"
"Fam102a","4"
"Ssb","4"
"Dync1i2","4"
"Cdca7","4"
"Rbm45","4"
"Prkra","4"
"Itga4","4"
"Cd82","4"
"Itpka","4"
"Eif3j1","4"
"Sord","4"
"Dut","4"
"Ncoa6","4"
"Samhd1","4"
"Pex2","4"
"Cyp7b1","4"
"Nudt6","4"
"Supt20","4"
"Rps27","4"
"S100a4","4"
"Cdc42se1","4"
"Ctss","4"
"Phgdh","4"
"Csf1","4"
"Sars","4"
"Aimp1","4"
"Zzz3","4"
"Pigk","4"
"Lyrm2","4"
"Ube2j1","4"
"Rars2","4"
"Chmp5","4"
"Ubap2","4"
"Stoml2","4"
"Clta","4"
"Gne","4"
"Stx17","4"
"Ptbp3","4"
"Prpf38a","4"
"Zbtb8os","4"
"Eif3i","4"
"Stx12","4"
"Arid1a","4"
"Lin28a","4"
"Sh3bgrl3","4"
"Hp1bp3","4"
"2510039O18Rik","4"
"Kcnab2","4"
"Kmt2c","4"
"Hadha","4"
"Gpn1","4"
"Mrfap1","4"
"Lias","4"
"Pdgfra","4"
"Naaa","4"
"Atp5k","4"
"Pgam5","4"
"Ssh1","4"
"Kdm2b","4"
"Ran","4"
"Mrps17","4"
"Rabgef1","4"
"Actb","4"
"Mdfic","4"
"Nrf1","4"
"Hnrnpa2b1","4"
"Hibadh","4"
"Aqp1","4"
"Igkv4-72","4"
"Isy1","4"
"Mcm2","4"
"Rybp","4"
"Rpusd3","4"
"Irak2","4"
"Il17ra","4"
"Klrk1","4"
"Etv6","4"
"Dera","4"
"Kras","4"
"Fgfr1op2","4"
"Cacng6","4"
"Ncr1","4"
"Sae1","4"
"Tmem160","4"
"Opa3","4"
"Apoe","4"
"Spint2","4"
"Zfp260","4"
"Polr2i","4"
"Pop4","4"
"Emc10","4"
"Rps11","4"
"Ush1c","4"
"Ldha","4"
"Iqgap1","4"
"Stard5","4"
"Crebzf","4"
"Clns1a","4"
"Capn5","4"
"Smg1","4"
"Plk1","4"
"AI467606","4"
"Bckdk","4"
"Itgax","4"
"Adam8","4"
"Irf7","4"
"Map2k7","4"
"Mast3","4"
"Trmt1","4"
"Rbl2","4"
"Dync1li2","4"
"Mphosph6","4"
"Eif3g","4"
"Prkcsh","4"
"Sorl1","4"
"Trappc4","4"
"Drd2","4"
"Smad3","4"
"Phip","4"
"Ctsh","4"
"Pccb","4"
"Atp2c1","4"
"Dhx30","4"
"Aifm2","4"
"Ddx50","4"
"Zwint","4"
"Itgb2","4"
"Pdxk","4"
"Cdc34","4"
"Lyz2","4"
"Ewsr1","4"
"5730522E02Rik","4"
"Lcp2","4"
"Prpsap2","4"
"Ncor1","4"
"Txndc17","4"
"Slc6a4","4"
"Utp6","4"
"Ptrh2","4"
"Ppp1r9b","4"
"Snx11","4"
"Thra","4"
"Nt5c3b","4"
"Acly","4"
"Rundc1","4"
"1700012B07Rik","4"
"Atp5h","4"
"Mrpl12","4"
"P4hb","4"
"Id2","4"
"Heatr5a","4"
"Fam177a","4"
"Dnaaf2","4"
"Lgmn","4"
"Ckb","4"
"Cdkal1","4"
"Nsd1","4"
"Mrpl36","4"
"Cd180","4"
"Smim15","4"
"Fgf10","4"
"Gnpnat1","4"
"Prmt5","4"
"Slitrk5","4"
"Rpl37","4"
"Adamts12","4"
"Sub1","4"
"Laptm4b","4"
"Zfp706","4"
"Rnf139","4"
"Sla","4"
"Cpsf1","4"
"Prkag1","4"
"Tfcp2","4"
"Eif4b","4"
"Glyr1","4"
"Ppm1f","4"
"Tmem191c","4"
"Tmem41a","4"
"Gcsam","4"
"Morc3","4"
"Dyrk1a","4"
"Snx9","4"
"Pkd1","4"
"Srsf3","4"
"Fgd2","4"
"Ring1","4"
"Tap1","4"
"H2-Ab1","4"
"H2-Aa","4"
"Ddx39b","4"
"H2-Q6","4"
"Supt3","4"
"Ranbp3","4"
"Vapa","4"
"Wac","4"
"Esco1","4"
"Pik3c3","4"
"Ythdc2","4"
"Cd74","4"
"Cdx1","4"
"Cndp2","4"
"Tmx3","4"
"Ovol1","4"
"Capn1","4"
"Incenp","4"
"Prpf19","4"
"Ms4a6b","4"
"Nmrk1","4"
"Aldh18a1","4"
"Sfr1","4"
"Mcts1","4"
"6030498E09Rik","4"
"Bcap31","4"
"Smap1","5"
"Phlpp1","5"
"Dsel","5"
"Tmcc2","5"
"Qsox1","5"
"Nos1ap","5"
"Acbd3","5"
"Sapcd2","5"
"Pomt1","5"
"Fam98b","5"
"Usp8","5"
"4930402H24Rik","5"
"E2f5","5"
"Fstl5","5"
"Mtmr11","5"
"Reck","5"
"Ttc39b","5"
"Sf3a3","5"
"Snip1","5"
"A630031M04Rik","5"
"Srsf4","5"
"Ddost","5"
"B3galt6","5"
"Sri","5"
"Dmtf1","5"
"Phtf2","5"
"Rbm33","5"
"Rbpj","5"
"Ociad2","5"
"1700095B10Rik","5"
"Prkab1","5"
"Lrwd1","5"
"Zkscan14","5"
"Wipf3","5"
"D830050J10Rik","5"
"Bcl2l13","5"
"Lrp6","5"
"Rgma","5"
"Isg20","5"
"Dgat2","5"
"Mettl9","5"
"Ap2a2","5"
"Ash2l","5"
"Galnt7","5"
"Ces1f","5"
"Nptn","5"
"Tpm1","5"
"Polr2m","5"
"Faim","5"
"Nudt16","5"
"Rpsa","5"
"Tab2","5"
"Rev3l","5"
"Avpr1a","5"
"Mon2","5"
"Ogdh","5"
"Galnt10","5"
"Ezh1","5"
"Gna13","5"
"2610035D17Rik","5"
"St6galnac2","5"
"Strn3","5"
"Sptssa","5"
"Trmt5","5"
"Snw1","5"
"Eci2","5"
"Ly86","5"
"Atg10","5"
"Tnpo1","5"
"Msra","5"
"Itm2b","5"
"Prkaa1","5"
"Rpl8","5"
"Eif3d","5"
"Alg1","5"
"Mylk","5"
"Adprh","5"
"Gtpbp8","5"
"Cct8","5"
"Btbd9","5"
"Slc35b2","5"
"Srf","5"
"Nlrc4","5"
"Lrpprc","5"
"Sap130","5"
"Hsd17b4","5"
"Ints5","5"
"Pten","5"
"Entpd1","5"
"Rpl10","5"
"Foxo4","5"
"mt-Nd2","5"
"Zap70","6"
"Vil1","6"
"2810459M11Rik","6"
"Ikbke","6"
"Elk4","6"
"Sft2d2","6"
"Parp1","6"
"Esrrg","6"
"Ralgds","6"
"Rasgrp1","6"
"Snap23","6"
"Snx5","6"
"Apmap","6"
"H13","6"
"Edem2","6"
"Myl9","6"
"Rbm38","6"
"Atp5e","6"
"Ndufb5","6"
"Serp1","6"
"Lrba","6"
"Rab25","6"
"Dennd4b","6"
"Slc16a1","6"
"Prpf38b","6"
"Synpo2","6"
"Ube2d3","6"
"Ppp3ca","6"
"Ddah1","6"
"Cdk5rap2","6"
"Insl5","6"
"Tspan1","6"
"Inpp5b","6"
"Hdac1","6"
"Capzb","6"
"Kif1b","6"
"Nadk","6"
"Mrpl20","6"
"Chpf2","6"
"Tmem129","6"
"Gltp","6"
"Rnf10","6"
"Gatc","6"
"Gtf2ird1","6"
"Gimap8","6"
"Tax1bp1","6"
"Gars","6"
"Abcg2","6"
"Serbp1","6"
"Kcmf1","6"
"Pole4","6"
"Mxd1","6"
"Xpc","6"
"Nr2c2","6"
"Atn1","6"
"Cdca3","6"
"Zfp384","6"
"Gapdh","6"
"Ndufa3","6"
"Tmc4","6"
"Rps5","6"
"Sirt2","6"
"Nucb1","6"
"Rpl18","6"
"Abhd2","6"
"Sec11a","6"
"Btbd1","6"
"Uvrag","6"
"P2ry6","6"
"Trim12a","6"
"Tspan32","6"
"Champ1","6"
"Tlr3","6"
"Atp13a1","6"
"Klf2","6"
"Il15","6"
"Fam76b","6"
"Rp9","6"
"Arcn1","6"
"Tmprss4","6"
"Glce","6"
"Rpl4","6"
"Tex264","6"
"Ip6k1","6"
"Apeh","6"
"Xcr1","6"
"Utrn","6"
"Hbs1l","6"
"Akap7","6"
"Psap","6"
"Derl3","6"
"Icosl","6"
"Ptbp1","6"
"Atp5d","6"
"Plekhj1","6"
"Gna11","6"
"1190007I07Rik","6"
"Mybpc1","6"
"Myl6","6"
"Eif4enif1","6"
"Smtn","6"
"Gas2l1","6"
"Znrf3","6"
"Igfbp3","6"
"Cct4","6"
"Hint1","6"
"Snap47","6"
"Zbtb4","6"
"Pfn1","6"
"Srr","6"
"Taok1","6"
"Trim25","6"
"Top2a","6"
"Jup","6"
"Efcab3","6"
"Cyb561","6"
"Slc39a11","6"
"Mrpl38","6"
"Slc38a10","6"
"Rfng","6"
"Eapp","6"
"Snx6","6"
"Tmx1","6"
"Sipa1l1","6"
"Irf2bpl","6"
"Klc1","6"
"Igha","6"
"Irf4","6"
"Dsp","6"
"Prelid1","6"
"Thbs4","6"
"Naip5","6"
"Mrps30","6"
"Tkt","6"
"Btd","6"
"Sncg","6"
"Ripk3","6"
"Sorbs3","6"
"Slc39a14","6"
"Gpc5","6"
"6030458C11Rik","6"
"Atp6v1c1","6"
"Ly6c1","6"
"Sharpin","6"
"Zfp7","6"
"Ncf4","6"
"A4galt","6"
"Tmem117","6"
"Mapk1","6"
"Sdf2l1","6"
"Fstl1","6"
"Cd47","6"
"St3gal6","6"
"Srrm2","6"
"Pgp","6"
"Rps2","6"
"Trim31","6"
"Cox7a2l","6"
"Plekhh2","6"
"Elp2","6"
"Wdr33","6"
"Psd2","6"
"Ndufa2","6"
"Sec11c","6"
"Chka","6"
"Ndufs8","6"
"Drap1","6"
"Znhit2","6"
"Snhg1","6"
"Tut1","6"
"Sema4g","6"
"Mrpl43","6"
"Aifm1","6"
"Hprt","6"
"Jph1","7"
"Pdcl3","7"
"Hspe1","7"
"Bzw1","7"
"Dgkd","7"
"Hes6","7"
"Klhl12","7"
"Hmcn1","7"
"Mettl18","7"
"Atf6","7"
"Fcgr4","7"
"Usf1","7"
"Plxna2","7"
"Inpp5e","7"
"Cutal","7"
"Tank","7"
"Tlk1","7"
"Hnrnpa3","7"
"B2m","7"
"Macrod2","7"
"Sec23b","7"
"Crnkl1","7"
"Mafb","7"
"Pigt","7"
"Slc9a8","7"
"Zbp1","7"
"Rab22a","7"
"Gid8","7"
"Car13","7"
"Gmps","7"
"Lmna","7"
"Jtb","7"
"Chtop","7"
"Adamtsl4","7"
"Wdr3","7"
"Rap1a","7"
"Psma5","7"
"Slc44a3","7"
"Gtf2b","7"
"Nexn","7"
"Rabggtb","7"
"Rad23b","7"
"Tmem245","7"
"Txn1","7"
"Ttc39a","7"
"Mast2","7"
"Rnf220","7"
"Yars","7"
"Pef1","7"
"Stmn1","7"
"Fam126a","7"
"Rbm47","7"
"Sult1d1","7"
"Pxn","7"
"Trim56","7"
"Kdelr2","7"
"Hepacam2","7"
"Asns","7"
"Tnpo3","7"
"Gimap4","7"
"Edem1","7"
"Rassf4","7"
"Cdkn1b","7"
"Plbd1","7"
"Snrpa","7"
"Pepd","7"
"Kdelr1","7"
"Nupr1","7"
"Sult1a1","7"
"Aldoa","7"
"Ank1","7"
"Atp6v1b2","7"
"Slc25a42","7"
"Ssbp4","7"
"A330008L17Rik","7"
"Cmtm4","7"
"Coa6","7"
"Maml2","7"
"Kirrel3","7"
"Pts","7"
"Fdx1","7"
"Anxa2","7"
"Myo5c","7"
"Zbtb38","7"
"Col6a4","7"
"Nktr","7"
"Snrk","7"
"Ginm1","7"
"Socs2","7"
"Tspan8","7"
"Spryd4","7"
"Xbp1","7"
"Etaa1","7"
"Erlec1","7"
"Mat2b","7"
"Cyfip2","7"
"Mprip","7"
"Tvp23b","7"
"Nup88","7"
"Sgsm2","7"
"Prpf8","7"
"Psmd11","7"
"Ccl8","7"
"Ghdc","7"
"Mlx","7"
"Brca1","7"
"Kansl1","7"
"Kpna2","7"
"Dld","7"
"Actn1","7"
"Ifi27l2a","7"
"Ptprn2","7"
"Akr1c19","7"
"Dip2c","7"
"Cdk13","7"
"Cast","7"
"Ell2","7"
"Pde4d","7"
"Map3k1","7"
"Top2b","7"
"Vcl","7"
"Ccser2","7"
"Oxa1l","7"
"Ctsb","7"
"Eif3e","7"
"Ext1","7"
"Chrac1","7"
"Dgat1","7"
"Apol10a","7"
"Txn2","7"
"Lgals1","7"
"Fbln1","7"
"Slc48a1","7"
"Dip2b","7"
"Coro7","7"
"Zc3h7a","7"
"Iqcb1","7"
"Ndufb4","7"
"Usp25","7"
"Urb1","7"
"Ermard","7"
