"Gene symbol","Cluster number"
"Myo1d","5"
"Ap2b1","5"
"Mbtd1","5"
"Mrpl45","5"
"Eif1","5"
"Pyy","5"
"Abca8b","5"
"Tmc8","5"
"Engase","5"
"Ralgapa1","5"
"Snapc1","5"
"Wdr89","5"
"Pcnx","5"
"Zfyve21","5"
"Zbtb42","5"
"Pcbd2","5"
"Ptcd2","5"
"Nnt","5"
"Kcnma1","5"
"Parp2","5"
"Dad1","5"
"Ptk2b","5"
"Tsc22d1","5"
"Dnajc3","5"
"Sdc2","5"
"Ly6c1","5"
"Ep300","5"
"Tef","5"
"Atxn10","5"
"Arid2","5"
"Hnrnpa1","5"
"Cbr3","5"
"Ube2i","5"
"Axin1","5"
"Tapbp","5"
"Clic5","5"
"F630040K05Rik","5"
"Klc4","5"
"Rab12","5"
"Ptprm","5"
"Yipf5","5"
"Lars","5"
"Phax","5"
"Csnk1a1","5"
"Drap1","5"
"Capn1","5"
"Dnajc4","5"
"Chrm1","5"
"Syt7","5"
"Btrc","5"
"Nolc1","5"
"4833407H14Rik","5"
"Timm17b","5"
"Atp11c","5"
"Itm2a","5"
"Rbbp7","5"
"Pir","5"
"Tcea1","6"
"Blcap","6"
"Eif2a","6"
"Eif2b3","6"
"Zc3h12a","6"
"Lnx2","6"
"Tfec","6"
"Dysf","6"
"Wnk1","6"
"Prr14","6"
"4930555F03Rik","6"
"Nfat5","6"
"Snapc5","6"
"Socs2","6"
"Fzd2","6"
"Slc38a10","6"
"Cfl2","6"
"4930544I03Rik","6"
"A4galt","6"
"Trabd","6"
"Abcf3","6"
"Cyp39a1","6"
"Epcam","6"
"Hars","6"
"Chka","6"
"Tmem258","6"
"Lmbrd1","7"
"Hs6st1","7"
"Spats2l","7"
"Cul3","7"
"Trip12","7"
"Smg7","7"
"Slc19a2","7"
"Pou2f1","7"
"Zbtb18","7"
"Abi1","7"
"St6galnac6","7"
"Pbx3","7"
"Cdca7","7"
"Pamr1","7"
"Itpripl1","7"
"Tgm3","7"
"Naa20","7"
"Rpn2","7"
"Zfp64","7"
"Gnas","7"
"Ndufb5","7"
"Ufm1","7"
"Nfkb1","7"
"Casp8ap2","7"
"Mob3b","7"
"Ccl21a","7"
"Klhl9","7"
"Plaa","7"
"Macf1","7"
